# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 3377
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
401,-0.07582777,0.06665082,0.07048271,0,Green
402,-0.07553885,0.06658491,0.07088718,0,Green
403,-0.07530078,0.06698253,0.06977312,0,Green
404,-0.07690737,0.06710686,0.06802577,0,Green
405,-0.07641836,0.06721914,0.06802577,0,Green
406,-0.07598035,0.06725448,0.06826447,0,Green
407,-0.07663853,0.06705395,0.06844524,0,Green
408,-0.07620052,0.06708928,0.06868394,0,Green
409,-0.07597340,0.06702109,0.06912427,0,Green
410,-0.07841628,0.06751125,0.06457265,0,Green
411,-0.07792864,0.06763002,0.06457265,0,Green
412,-0.07769766,0.06759699,0.06501596,0,Green
413,-0.07798464,0.06745002,0.06539861,0,Green
414,-0.07769765,0.06743720,0.06580924,0,Green
415,-0.07982014,0.06769828,0.06111954,0,Green
416,-0.07942423,0.06775749,0.06141940,0,Green
417,-0.08132908,0.06764437,0.05766642,0,Green
418,-0.08197644,0.06756813,0.05593986,0,Green
419,-0.08148953,0.06768816,0.05596809,0,Green
420,-0.08115080,0.06775511,0.05633034,0,Green
421,-0.08175298,0.06760226,0.05638679,0,Green
422,-0.08141425,0.06766921,0.05674904,0,Green
423,-0.08115080,0.06771445,0.05717245,0,Green
424,-0.08283973,0.06740069,0.05424858,0,Green
425,-0.08248923,0.06747817,0.05459907,0,Green
426,-0.08213875,0.06755566,0.05494956,0,Green
427,-0.08178826,0.06763314,0.05530005,0,Green
428,-0.08225637,0.06751267,0.05543412,0,Green
429,-0.08218015,0.06755930,0.05421330,0,Green
430,-0.08499676,0.06676811,0.04927825,0,Green
431,-0.08478010,0.06684158,0.04972423,0,Green
432,-0.08585940,0.06645161,0.04744367,0,Green
433,-0.08564270,0.06653334,0.04798308,0,Green
434,-0.08538831,0.06655513,0.04731176,0,Green
435,-0.08519751,0.06662633,0.04777344,0,Green
436,-0.08540370,0.06661771,0.04841496,0,Green
437,-0.08476152,0.06674712,0.04798685,0,Green
438,-0.08491913,0.06674060,0.04846201,0,Green
439,-0.08468155,0.06682879,0.04889483,0,Green
440,-0.08629045,0.06625689,0.04625651,1,SecondColor
441,-0.08629045,0.06621648,0.04575715,1,SecondColor
442,-0.08586646,0.06633132,0.04600212,1,SecondColor
443,-0.08585940,0.06640019,0.04683360,0,Green
444,-0.08551314,0.06644882,0.04647557,0,Green
445,-0.08532000,0.06645475,0.04601390,0,Green
446,-0.08502085,0.06648940,0.04561347,0,Green
447,-0.08460628,0.06660614,0.04586747,0,Green
448,-0.08420060,0.06666309,0.04558050,0,Green
449,-0.08386094,0.06676558,0.04593430,0,Green
450,-0.08350950,0.06680506,0.04558049,0,Green
451,-0.08305191,0.06691498,0.04575268,0,Green
452,-0.08320948,0.06681584,0.04518006,0,Green
