# Extracted surface points
# Object: trace_plane_Stand
# CoordinateSpace: World
# Units: meters
# Count: 4170
# Color 0: Name=Green, RGB=0,255,0, Tolerance=0
# Color 1: Name=SecondColor, RGB=255,0,0, Tolerance=0
index,x,y,z,colorIndex,colorName
361,-0.02729154,0.04761898,0.09186406,0,Green
362,-0.02761848,0.04789727,0.09160747,0,Green
363,-0.02761412,0.04808994,0.09114371,0,Green
364,-0.02766445,0.04767365,0.09219313,0,Green
365,-0.02791861,0.04836079,0.09085221,0,Green
366,-0.02799749,0.04794597,0.09193021,0,Green
367,-0.02801283,0.04816065,0.09143721,0,Green
368,-0.02836745,0.04858169,0.09086285,0,Green
369,-0.02696665,0.04685792,0.09326134,0,Green
370,-0.02732199,0.04688014,0.09361669,0,Green
371,-0.02739175,0.04710770,0.09317632,0,Green
372,-0.02718247,0.04719858,0.09272942,0,Green
373,-0.02762283,0.04743405,0.09269454,0,Green
374,-0.02686057,0.04662777,0.09369344,0,Green
375,-0.01208816,0.03896387,0.09350521,0,Green
376,-0.01236299,0.03902007,0.09391966,0,Green
377,-0.01089521,0.03845670,0.09272895,0,Green
378,-0.01123920,0.03857587,0.09307294,0,Green
379,-0.01158319,0.03869504,0.09341693,0,Green
380,-0.01130094,0.03871857,0.09259664,0,Green
381,-0.01164493,0.03883774,0.09294064,0,Green
382,-0.01153247,0.03893799,0.09221076,0,Green
383,-0.01175750,0.03869606,0.09388638,0,Green
384,-0.01255019,0.03900183,0.09438393,0,Green
385,-0.01289727,0.03910092,0.09473101,0,Green
386,-0.01324435,0.03920001,0.09507808,0,Green
387,-0.01359143,0.03929909,0.09542517,0,Green
388,-0.01294370,0.03926018,0.09421369,0,Green
389,-0.01208152,0.03876286,0.09436459,0,Green
390,-0.01251369,0.03885342,0.09493778,0,Green
391,-0.01294588,0.03896796,0.09540784,0,Green
392,-0.02642851,0.04575064,0.09523056,0,Green
393,-0.02670124,0.04569562,0.09564625,0,Green
394,-0.02675183,0.04609278,0.09477747,0,Green
395,-0.02688600,0.04595486,0.09523936,0,Green
396,-0.02675191,0.04629974,0.09432133,0,Green
397,-0.02718190,0.04633483,0.09469677,0,Green
398,-0.02718191,0.04654183,0.09424058,0,Green
399,-0.02634647,0.04532420,0.09609429,0,Green
400,-0.02670053,0.04531908,0.09644835,0,Green
401,-0.02691690,0.04558766,0.09608556,0,Green
402,-0.02599755,0.04483791,0.09684867,0,Green
403,-0.02599755,0.04463395,0.09730674,0,Green
404,-0.02640056,0.04488112,0.09714158,0,Green
405,-0.01394106,0.03939074,0.09577478,0,Green
406,-0.01381474,0.03920849,0.09622471,0,Green
407,-0.01381474,0.03907878,0.09670940,0,Green
408,-0.01420785,0.03932360,0.09651285,0,Green
409,-0.01423912,0.03920858,0.09699978,0,Green
410,-0.01456746,0.03926929,0.09737278,0,Green
411,-0.01461436,0.03945243,0.09677418,0,Green
412,-0.01494270,0.03951315,0.09714719,0,Green
413,-0.01316005,0.03893324,0.09598356,0,Green
414,-0.02556498,0.04377497,0.09876592,0,Green
415,-0.02589186,0.04404242,0.09849826,0,Green
416,-0.02588967,0.04425088,0.09804194,0,Green
417,-0.01553462,0.03922098,0.09909490,0,Green
418,-0.01520977,0.03918809,0.09867883,0,Green
419,-0.01467134,0.03912012,0.09803360,0,Green
420,-0.01511410,0.03928746,0.09819602,0,Green
421,-0.01494501,0.03935833,0.09768873,0,Green
422,-0.01553239,0.03953038,0.09806920,0,Green
423,-0.01563076,0.03943027,0.09854916,0,Green
424,-0.01594834,0.03945832,0.09893607,0,Green
425,-0.02593813,0.04378557,0.09909937,0,Green
426,-0.02620054,0.04451255,0.09774767,0,Green
427,-0.02627110,0.04404633,0.09882594,0,Green
428,-0.02629756,0.04428478,0.09832980,0,Green
429,-0.02660964,0.04454876,0.09803369,0,Green
430,-0.02660745,0.04476579,0.09758290,0,Green
431,-0.02612144,0.04364504,0.09954315,0,Green
432,-0.02545692,0.04297895,0.10038440,0,Green
433,-0.02581058,0.04295968,0.10073810,0,Green
434,-0.02545692,0.04319244,0.09993190,0,Green
